#T	β	c	e	chiz	chic	s
0.0380228	26.3	0.000733217	-1.71919	6.53368e-09	8.66139e-09	0.0301029
0.0378788	26.4	0.000724843	-1.7192	6.5477e-09	8.52695e-09	0.0301008
0.0377358	26.5	0.000716727	-1.7192	6.55945e-09	8.36784e-09	0.0300987
0.037594	26.6	0.00070886	-1.7192	6.56903e-09	8.18869e-09	0.0300967
0.0374532	26.7	0.00070124	-1.7192	6.57658e-09	7.9934e-09	0.0300947
0.0373134	26.8	0.000693861	-1.7192	6.58234e-09	7.7866e-09	0.0300928
0.0371747	26.9	0.000686717	-1.7192	6.58658e-09	7.57102e-09	0.0300909
0.037037	27	0.000679805	-1.7192	6.58964e-09	7.34968e-09	0.0300891
0.0369004	27.1	0.000673119	-1.7192	6.59184e-09	7.12504e-09	0.0300873
0.0367647	27.2	0.000666654	-1.7192	6.59354e-09	6.89923e-09	0.0300855
0.03663	27.3	0.000660407	-1.7192	6.59508e-09	6.67397e-09	0.0300837
0.0364964	27.4	0.000654372	-1.7192	6.59677e-09	6.45133e-09	0.0300821
0.0363636	27.5	0.000648545	-1.7192	6.59887e-09	6.23291e-09	0.0300804
0.0362319	27.6	0.000642922	-1.7192	6.60158e-09	6.02105e-09	0.0300788
0.0361011	27.7	0.000637499	-1.7192	6.60503e-09	5.81834e-09	0.0300772
0.0359712	27.8	0.000632271	-1.7192	6.60925e-09	5.62719e-09	0.0300756
0.0358423	27.9	0.000627235	-1.7192	6.61419e-09	5.45105e-09	0.0300741
0.0357143	28	0.000622387	-1.7192	6.61974e-09	5.29343e-09	0.0300726
0.0355872	28.1	0.000617723	-1.7192	6.62573e-09	5.15818e-09	0.0300711
0.035461	28.2	0.000613238	-1.7192	6.63196e-09	5.04893e-09	0.0300696
0.0353357	28.3	0.00060893	-1.7192	6.63828e-09	4.96946e-09	0.0300682
0.0352113	28.4	0.000604795	-1.7192	6.64459e-09	4.92297e-09	0.0300668
0.0350877	28.5	0.000600828	-1.7192	6.6509e-09	4.91201e-09	0.0300655
0.034965	28.6	0.000597028	-1.7192	6.65736e-09	4.93853e-09	0.0300641
0.0348432	28.7	0.00059339	-1.7192	6.66428e-09	5.00369e-09	0.0300628
0.0347222	28.8	0.00058991	-1.7192	6.67211e-09	5.10665e-09	0.0300615
0.0346021	28.9	0.000586587	-1.7192	6.68144e-09	5.24713e-09	0.0300602
0.0344828	29	0.000583417	-1.7192	6.69295e-09	5.42328e-09	0.030059
0.0343643	29.1	0.000580396	-1.7192	6.70743e-09	5.63194e-09	0.0300578
0.0342466	29.2	0.000577522	-1.7192	6.72568e-09	5.8707e-09	0.0300566
0.0341297	29.3	0.00057479	-1.7192	6.74855e-09	6.13569e-09	0.0300554
0.0340136	29.4	0.000572201	-1.7192	6.77686e-09	6.4238e-09	0.0300542
0.0338983	29.5	0.00056975	-1.7192	6.81139e-09	6.73051e-09	0.0300531
0.0337838	29.6	0.000567432	-1.7192	6.8528e-09	7.0521e-09	0.030052
0.03367	29.7	0.000565248	-1.7192	6.9016e-09	7.38374e-09	0.0300509
0.033557	29.8	0.000563194	-1.7192	6.95806e-09	7.72019e-09	0.0300498
0.0334448	29.9	0.000561266	-1.7192	7.02213e-09	8.05559e-09	0.0300487
0.0333333	30	0.000559464	-1.7192	7.09336e-09	8.38421e-09	0.0300476
0.0332226	30.1	0.000557782	-1.7192	7.1709e-09	8.69883e-09	0.0300466
0.0331126	30.2	0.000556221	-1.7192	7.25342e-09	8.99302e-09	0.0300456
0.0330033	30.3	0.000554776	-1.7192	7.33917e-09	9.25979e-09	0.0300446
0.0328947	30.4	0.000553445	-1.7192	7.42606e-09	9.492e-09	0.0300436
0.0327869	30.5	0.000552227	-1.7192	7.51182e-09	9.68419e-09	0.0300426
0.0326797	30.6	0.000551117	-1.7192	7.59421e-09	9.82966e-09	0.0300416
0.0325733	30.7	0.000550116	-1.7192	7.67125e-09	9.92491e-09	0.0300407
0.0324675	30.8	0.000549219	-1.7192	7.74148e-09	9.96706e-09	0.0300398
0.0323625	30.9	0.000548426	-1.7192	7.80414e-09	9.95603e-09	0.0300388
0.0322581	31	0.000547734	-1.7192	7.85919e-09	9.89558e-09	0.0300379
0.0321543	31.1	0.000547141	-1.7192	7.90733e-09	9.79101e-09	0.030037
0.0320513	31.2	0.000546646	-1.7192	7.94969e-09	9.65243e-09	0.0300361
0.0319489	31.3	0.000546247	-1.7192	7.98763e-09	9.491e-09	0.0300353
0.0318471	31.4	0.000545942	-1.7192	8.0224e-09	9.32109e-09	0.0300344
0.031746	31.5	0.000545729	-1.7192	8.055e-09	9.15543e-09	0.0300335
0.0316456	31.6	0.000545607	-1.7192	8.08608e-09	9.00904e-09	0.0300327
0.0315457	31.7	0.000545573	-1.7192	8.11607e-09	8.89347e-09	0.0300319
